ID,habit,Dmax,M,alpha,kappa,slope,beta,zeta1
344,1,0.0023,0.0324,0.6018,0.1761,3.1744,5.0263,0.0385
345,1,0.0025,0.0324,0.6448,0.1568,3.0478,4.2103,0.0447
346,1,0.0027,0.0324,0.6045,0.2508,3.0736,3.7626,0.0382
347,1,0.0029,0.0324,0.6132,0.1927,2.9446,3.5107,0.0407
348,1,0.0031,0.0324,0.6272,0.1651,2.8421,3.4613,0.0308
349,1,0.0033,0.0324,0.5784,0.2397,3.0159,4.0565,0.0296
350,1,0.0035,0.0324,0.6434,0.2065,2.6444,1.7608,0.0535
351,1,0.0037,0.0324,0.5601,0.2176,2.8488,2.5856,0.0579
352,1,0.0039,0.0324,0.561,0.2314,3.1062,3.8382,0.0294
353,1,0.0041,0.0324,0.5998,0.259,2.6463,1.7185,0.0468
354,1,0.0043,0.0324,0.5826,0.1899,2.9363,3.5629,0.0533
355,1,0.0045,0.0324,0.5268,0.1734,2.966,2.8233,0.055
356,1,0.0047,0.0324,0.53,0.201,2.9167,1.9733,0.0563
357,1,0.0049,0.0324,0.6108,0.1374,2.5529,1.7904,0.0733
358,1,0.0051,0.0324,0.5088,0.2618,3.4564,8.2293,0.027
359,1,0.0053,0.0324,0.5791,0.2342,2.7555,2.5168,0.0117
360,1,0.0055,0.0324,0.5262,0.248,2.7155,1.6742,0.04
